Country	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
DW_NEW,I15_A_AVG,BE	134.13 	127.41 	119.88 	114.79 	111.35 	107.91 	103.49 	100.00 	95.42 	97.49 	93.97 	92.25 	88.76 	88.78 	89.74 	87.57 	83.83 	79.92 
DW_NEW,I15_A_AVG,BG	158.81 b	143.27 	133.00 	130.19 	120.04 	113.54 	106.41 	100.00 	96.62 	93.94 	96.58 	96.85 	97.86 	109.57 e	124.19 e	99.39 e	77.09 e	67.21 e
DW_NEW,I15_A_AVG,CY	109.21 	105.28 	110.07 	110.50 	105.59 	103.06 	100.63 	100.00 b	101.42 	104.04 	108.37 	111.04 	114.06 	: 	: 	: 	: 	: 
DW_NEW,I15_A_AVG,CZ	222.30 	188.00 	158.70 	145.50 	134.90 	120.60 	105.90 	100.00 	95.40 	93.70 	93.60 	95.80 	97.20 	100.20 	97.00 	: 	: 	: 
DW_NEW,I15_A_AVG,DE	147.60 p	140.00 	130.40 	122.90 	118.90 	111.80 	106.90 	100.00 	94.80 	91.40 	90.30 	87.80 	83.60 	81.60 	77.40 	75.40 	73.90 	74.60 
DW_NEW,I15_A_AVG,DK	118.59 	107.49 	103.28 	102.52 	101.79 	100.00 	99.37 	100.00 	89.54 	80.16 	50.62 	45.58 	40.48 	41.03 	44.41 	47.50 	41.73 	31.69 
DW_NEW,I15_A_AVG,EE	187.85 	159.55 	141.57 	129.22 	120.45 	110.78 	105.33 	100.00 	90.00 	74.86 	68.65 	61.71 	56.39 	51.37 	78.37 	85.03 	62.89 	47.02 
DW_NEW,I15_A_AVG,ES	154.90 	143.71 	137.47 	129.10 	120.05 	112.93 	106.45 	100.00 	95.48 	94.66 	100.05 	116.84 	124.20 	127.03 	132.51 	127.18 	113.65 	: 
DW_NEW,I15_A_AVG,FI	126.27 	120.96 	114.56 	110.52 	108.59 	106.20 	102.38 	100.00 b	98.94 	97.93 	95.88 	91.41 	87.72 	86.31 	: c	: c	: c	: c
DW_NEW,I15_A_AVG,FR	128.04 p	121.03 	115.70 	112.30 	108.39 	105.73 	101.72 	100.00 	98.33 	98.21 	98.58 	99.14 	94.55 	92.07 	91.89 	90.54 	85.92 	78.98 
